DateID,Date,Year,Quarter,Month,Week,Day
1,2022-01-01,2022,1,1,1,1
2,2022-01-02,2022,1,1,1,2
3,2022-01-03,2022,1,1,1,3
4,2022-01-04,2022,1,1,1,4
5,2022-01-05,2022,1,1,1,5
6,2022-01-06,2022,1,1,1,6
7,2022-01-07,2022,1,1,1,7
8,2022-01-08,2022,1,1,2,8
9,2022-01-09,2022,1,1,2,9
10,2022-01-10,2022,1,1,2,10
11,2022-01-11,2022,1,1,2,11
12,2022-01-12,2022,1,1,2,12
13,2022-01-13,2022,1,1,2,13
14,2022-01-14,2022,1,1,2,14
15,2022-01-15,2022,1,1,3,15
16,2022-01-16,2022,1,1,3,16
17,2022-01-17,2022,1,1,3,17
18,2022-01-18,2022,1,1,3,18
19,2022-01-19,2022,1,1,3,19
20,2022-01-20,2022,1,1,3,20
21,2022-01-21,2022,1,1,3,21
22,2022-01-22,2022,1,1,4,22
23,2022-01-23,2022,1,1,4,23
24,2022-01-24,2022,1,1,4,24
25,2022-01-25,2022,1,1,4,25
26,2022-01-26,2022,1,1,4,26
27,2022-01-27,2022,1,1,4,27
28,2022-01-28,2022,1,1,4,28
29,2022-01-29,2022,1,1,5,29
30,2022-01-30,2022,1,1,5,30
31,2022-01-31,2022,1,1,5,31
32,2022-02-01,2022,1,2,5,1
33,2022-02-02,2022,1,2,5,2
34,2022-02-03,2022,1,2,5,3
35,2022-02-04,2022,1,2,5,4
36,2022-02-05,2022,1,2,6,5
37,2022-02-06,2022,1,2,6,6
38,2022-02-07,2022,1,2,6,7
39,2022-02-08,2022,1,2,6,8
40,2022-02-09,2022,1,2,6,9
41,2022-02-10,2022,1,2,6,10
42,2022-02-11,2022,1,2,6,11
43,2022-02-12,2022,1,2,7,12
44,2022-02-13,2022,1,2,7,13
45,2022-02-14,2022,1,2,7,14
46,2022-02-15,2022,1,2,7,15
47,2022-02-16,2022,1,2,7,16
48,2022-02-17,2022,1,2,7,17
49,2022-02-18,2022,1,2,7,18
50,2022-02-19,2022,1,2,8,19
51,2022-02-20,2022,1,2,8,20
52,2022-02-21,2022,1,2,8,21
53,2022-02-22,2022,1,2,8,22
54,2022-02-23,2022,1,2,8,23
55,2022-02-24,2022,1,2,8,24
56,2022-02-25,2022,1,2,8,25
57,2022-02-26,2022,1,2,9,26
58,2022-02-27,2022,1,2,9,27
59,2022-02-28,2022,1,2,9,28
60,2022-03-01,2022,1,3,9,1
61,2022-03-02,2022,1,3,9,2
62,2022-03-03,2022,1,3,9,3
63,2022-03-04,2022,1,3,9,4
64,2022-03-05,2022,1,3,10,5
65,2022-03-06,2022,1,3,10,6
66,2022-03-07,2022,1,3,10,7
67,2022-03-08,2022,1,3,10,8
68,2022-03-09,2022,1,3,10,9
69,2022-03-10,2022,1,3,10,10
70,2022-03-11,2022,1,3,10,11
71,2022-03-12,2022,1,3,11,12
72,2022-03-13,2022,1,3,11,13
73,2022-03-14,2022,1,3,11,14
74,2022-03-15,2022,1,3,11,15
75,2022-03-16,2022,1,3,11,16
76,2022-03-17,2022,1,3,11,17
77,2022-03-18,2022,1,3,11,18
78,2022-03-19,2022,1,3,12,19
